OBJECTID,HUC8,VALUE_11,VALUE_12,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95,HUC_8,HUC_8_NAME,AdminBasin,BasReport
11,17050116,22896900.000000000000000,0.000000000000000,8425800.000000000000000,2291400.000000000000000,236700.000000000000000,0.000000000000000,3543300.000000000000000,194400.000000000000000,1174725900.000000000000000,0.000000000000000,4839305400.000000000000000,127221300.000000000000000,23841900.000000000000000,15729300.000000000000000,6671700.000000000000000,64192500.000000000000000,17050116,Upper Malheur,Malheur,Malheur
12,17050117,2605500.000000000000000,0.000000000000000,28371600.000000000000000,8067600.000000000000000,1242900.000000000000000,27000.000000000000000,6611400.000000000000000,0.000000000000000,7569900.000000000000000,0.000000000000000,1691530200.000000000000000,492259500.000000000000000,14000400.000000000000000,201789900.000000000000000,481500.000000000000000,2063700.000000000000000,17050117,Lower Malheur,Malheur,Malheur
13,17050118,3317400.000000000000000,0.000000000000000,9841500.000000000000000,855900.000000000000000,43200.000000000000000,0.000000000000000,3930300.000000000000000,0.000000000000000,12366900.000000000000000,0.000000000000000,1229296500.000000000000000,189954900.000000000000000,4012200.000000000000000,41771700.000000000000000,3189600.000000000000000,19042200.000000000000000,17050118,Bully,Malheur,Malheur
14,17050119,2934900.000000000000000,0.000000000000000,26421300.000000000000000,3447000.000000000000000,258300.000000000000000,7200.000000000000000,188100.000000000000000,0.000000000000000,64586700.000000000000000,0.000000000000000,1420673400.000000000000000,295230600.000000000000000,37216800.000000000000000,112694400.000000000000000,13500.000000000000000,3872700.000000000000000,17050119,Willow,Malheur,Malheur
15,17050201,2935800.000000000000000,0.000000000000000,14328900.000000000000000,3139200.000000000000000,521100.000000000000000,2700.000000000000000,4033800.000000000000000,38700.000000000000000,487350900.000000000000000,0.000000000000000,709182900.000000000000000,317725200.000000000000000,6459300.000000000000000,83617200.000000000000000,121500.000000000000000,1535400.000000000000000,17050201,Brownlee Reservoir,Powder,Powder
16,17050202,4401900.000000000000000,0.000000000000000,22538700.000000000000000,4890600.000000000000000,1202400.000000000000000,27000.000000000000000,840600.000000000000000,30600.000000000000000,797547600.000000000000000,0.000000000000000,1856727900.000000000000000,78849900.000000000000000,57482100.000000000000000,1059300.000000000000000,138600.000000000000000,21757500.000000000000000,17050202,Burnt,Powder,Powder
17,17050203,19870200.000000000000000,0.000000000000000,53246700.000000000000000,13882500.000000000000000,3589200.000000000000000,224100.000000000000000,30096900.000000000000000,136800.000000000000000,1531517400.000000000000000,0.000000000000000,2137038300.000000000000000,138595500.000000000000000,16690500.000000000000000,448993800.000000000000000,8965800.000000000000000,20465100.000000000000000,17050203,Powder,Powder,Powder
18,17060101,260100.000000000000000,0.000000000000000,123300.000000000000000,126900.000000000000000,900.000000000000000,0.000000000000000,2700.000000000000000,43200.000000000000000,148520700.000000000000000,0.000000000000000,102798000.000000000000000,245518200.000000000000000,1600200.000000000000000,165600.000000000000000,295200.000000000000000,41400.000000000000000,17060101,Hells Canyon,Grande Ronde,Grande Ronde
19,17060102,72900.000000000000000,0.000000000000000,7031700.000000000000000,991800.000000000000000,7200.000000000000000,0.000000000000000,36605700.000000000000000,25200.000000000000000,1075048200.000000000000000,14400.000000000000000,343654200.000000000000000,731622600.000000000000000,128700.000000000000000,1638000.000000000000000,5553900.000000000000000,702000.000000000000000,17060102,Imnaha,Grande Ronde,Grande Ronde
20,17060103,24300.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,23400.000000000000000,66165300.000000000000000,0.000000000000000,22325400.000000000000000,93328200.000000000000000,0.000000000000000,111600.000000000000000,11700.000000000000000,13500.000000000000000,17060103,Lower Snake-Asotin,Grande Ronde,Grande Ronde
21,17060104,5139000.000000000000000,0.000000000000000,47421000.000000000000000,21036600.000000000000000,4210200.000000000000000,570600.000000000000000,1557900.000000000000000,0.000000000000000,2448223200.000000000000000,225000.000000000000000,978831000.000000000000000,108194400.000000000000000,3016800.000000000000000,614223900.000000000000000,736200.000000000000000,4671000.000000000000000,17060104,Upper Grande Ronde,Grande Ronde,Grande Ronde
22,17060105,9906300.000000000000000,0.000000000000000,18478800.000000000000000,5519700.000000000000000,1060200.000000000000000,92700.000000000000000,125915400.000000000000000,0.000000000000000,1266828300.000000000000000,1016100.000000000000000,273481200.000000000000000,570315600.000000000000000,7985700.000000000000000,189399600.000000000000000,189900.000000000000000,1153800.000000000000000,17060105,Wallowa,Grande Ronde,Grande Ronde
23,17060106,3223800.000000000000000,0.000000000000000,2415600.000000000000000,779400.000000000000000,155700.000000000000000,2700.000000000000000,625500.000000000000000,0.000000000000000,1617352200.000000000000000,707400.000000000000000,460200600.000000000000000,903177900.000000000000000,3928500.000000000000000,54167400.000000000000000,168300.000000000000000,1930500.000000000000000,17060106,Lower Grande Ronde,Grande Ronde,Grande Ronde
24,17070101,16172100.000000000000000,0.000000000000000,72339300.000000000000000,24813900.000000000000000,7133400.000000000000000,1070100.000000000000000,163800.000000000000000,399600.000000000000000,822600.000000000000000,64800.000000000000000,842500800.000000000000000,56499300.000000000000000,2559600.000000000000000,1002953700.000000000000000,2014200.000000000000000,3445200.000000000000000,17070101,Middle Columbia-Lake Wallula,Umatilla,Umatilla
25,17070102,262800.000000000000000,0.000000000000000,27069300.000000000000000,8802900.000000000000000,2171700.000000000000000,252000.000000000000000,26100.000000000000000,158400.000000000000000,379418400.000000000000000,578700.000000000000000,169155900.000000000000000,129393000.000000000000000,11903400.000000000000000,507793500.000000000000000,539100.000000000000000,5066100.000000000000000,17070102,Walla Walla,Umatilla,Umatilla
26,17070103,11103300.000000000000000,0.000000000000000,159033600.000000000000000,43443000.000000000000000,17561700.000000000000000,1748700.000000000000000,362700.000000000000000,1915200.000000000000000,1018503000.000000000000000,1366200.000000000000000,2709009900.000000000000000,347913000.000000000000000,66100500.000000000000000,2128221900.000000000000000,17180100.000000000000000,18068400.000000000000000,17070103,Umatilla,Umatilla,Umatilla
27,17070104,1482300.000000000000000,0.000000000000000,40123800.000000000000000,3536100.000000000000000,640800.000000000000000,68400.000000000000000,32400.000000000000000,155700.000000000000000,125062200.000000000000000,52200.000000000000000,1307972700.000000000000000,125379900.000000000000000,27263700.000000000000000,600413400.000000000000000,134100.000000000000000,14225400.000000000000000,17070104,Willow,Umatilla,Umatilla
28,17070105,7455600.000000000000000,6908400.000000000000000,71805600.000000000000000,24480000.000000000000000,14311800.000000000000000,3319200.000000000000000,28424700.000000000000000,23074200.000000000000000,1056717000.000000000000000,34641900.000000000000000,867592800.000000000000000,201481200.000000000000000,12741300.000000000000000,598770900.000000000000000,6066000.000000000000000,1002600.000000000000000,17070105,Middle Columbia-Hood,Hood,Hood
29,17070201,1480500.000000000000000,0.000000000000000,50608800.000000000000000,6800400.000000000000000,952200.000000000000000,104400.000000000000000,2260800.000000000000000,146700.000000000000000,2447970300.000000000000000,0.000000000000000,2882266200.000000000000000,39087900.000000000000000,19620900.000000000000000,8014500.000000000000000,8270100.000000000000000,72605700.000000000000000,17070201,Upper John Day,John Day,John Day
30,17070202,2964600.000000000000000,0.000000000000000,32616000.000000000000000,1187100.000000000000000,49500.000000000000000,1800.000000000000000,1253700.000000000000000,0.000000000000000,2793449700.000000000000000,0.000000000000000,1856087100.000000000000000,43668900.000000000000000,15520500.000000000000000,2690100.000000000000000,11218500.000000000000000,26676000.000000000000000,17070202,North Fork John Day,John Day,John Day
31,17070203,63000.000000000000000,0.000000000000000,12518100.000000000000000,720900.000000000000000,30600.000000000000000,1800.000000000000000,368100.000000000000000,27900.000000000000000,1120766400.000000000000000,0.000000000000000,884896200.000000000000000,21036600.000000000000000,146700.000000000000000,3305700.000000000000000,477900.000000000000000,7485300.000000000000000,17070203,Middle Fork John Day,John Day,John Day
32,17070204,22647600.000000000000000,0.000000000000000,83648700.000000000000000,5272200.000000000000000,500400.000000000000000,47700.000000000000000,15737400.000000000000000,137700.000000000000000,888159600.000000000000000,91800.000000000000000,5996091600.000000000000000,99392400.000000000000000,55704600.000000000000000,975983400.000000000000000,2350800.000000000000000,9708300.000000000000000,17070204,Lower John Day,John Day,John Day
33,17070301,92725200.000000000000000,10719900.000000000000000,126531000.000000000000000,86758200.000000000000000,17073000.000000000000000,2689200.000000000000000,207297000.000000000000000,443700.000000000000000,3183113700.000000000000000,191700.000000000000000,1439711100.000000000000000,231968700.000000000000000,2574900.000000000000000,135558900.000000000000000,11171700.000000000000000,31123800.000000000000000,17070301,Upper Deschutes,Deschutes,Deschutes
34,17070302,28085400.000000000000000,0.000000000000000,38730600.000000000000000,11899800.000000000000000,1671300.000000000000000,154800.000000000000000,40400100.000000000000000,0.000000000000000,1670952600.000000000000000,4500.000000000000000,704519100.000000000000000,179168400.000000000000000,6239700.000000000000000,5339700.000000000000000,17474400.000000000000000,22446000.000000000000000,17070302,Little Deschutes,Deschutes,Deschutes
35,17070303,1659600.000000000000000,0.000000000000000,11304900.000000000000000,2909700.000000000000000,11700.000000000000000,0.000000000000000,4856400.000000000000000,0.000000000000000,289079100.000000000000000,0.000000000000000,3544505100.000000000000000,18556200.000000000000000,16146900.000000000000000,21526200.000000000000000,9784800.000000000000000,43169400.000000000000000,17070303,Beaver - South Fork,Deschutes,Deschutes
36,17070304,15219900.000000000000000,0.000000000000000,5932800.000000000000000,1105200.000000000000000,5400.000000000000000,0.000000000000000,237600.000000000000000,0.000000000000000,846014400.000000000000000,0.000000000000000,2040201900.000000000000000,10791000.000000000000000,22831200.000000000000000,3872700.000000000000000,4113000.000000000000000,43586100.000000000000000,17070304,Upper Crooked,Deschutes,Deschutes
37,17070305,8665200.000000000000000,0.000000000000000,89708400.000000000000000,35241300.000000000000000,4254300.000000000000000,915300.000000000000000,9456300.000000000000000,0.000000000000000,989506800.000000000000000,0.000000000000000,3240546300.000000000000000,108735300.000000000000000,2225700.000000000000000,286031700.000000000000000,6146100.000000000000000,5595300.000000000000000,17070305,Lower Crooked,Deschutes,Deschutes
38,17070306,26103600.000000000000000,882900.000000000000000,63693900.000000000000000,20623500.000000000000000,4329000.000000000000000,589500.000000000000000,38899800.000000000000000,4428000.000000000000000,1658188800.000000000000000,2862900.000000000000000,3469126500.000000000000000,252071100.000000000000000,77742900.000000000000000,319545900.000000000000000,2727000.000000000000000,4157100.000000000000000,17070306,Lower Deschutes,Deschutes,Deschutes
39,17070307,621900.000000000000000,0.000000000000000,13228200.000000000000000,3952800.000000000000000,451800.000000000000000,8100.000000000000000,34200.000000000000000,0.000000000000000,201050100.000000000000000,23400.000000000000000,1469951100.000000000000000,38809800.000000000000000,15169500.000000000000000,49185900.000000000000000,54900.000000000000000,198000.000000000000000,17070307,Trout,Deschutes,Deschutes
40,17080001,8763300.000000000000000,3996000.000000000000000,23849100.000000000000000,12861900.000000000000000,9657900.000000000000000,2033100.000000000000000,18405900.000000000000000,11628900.000000000000000,1091443500.000000000000000,42839100.000000000000000,153054900.000000000000000,25233300.000000000000000,9519300.000000000000000,49092300.000000000000000,9373500.000000000000000,3742200.000000000000000,17080001,Lower Columbia-Sandy,Sandy,Sandy
41,17080003,3091500.000000000000000,0.000000000000000,45644400.000000000000000,10726200.000000000000000,3334500.000000000000000,1699200.000000000000000,4188600.000000000000000,43551900.000000000000000,222546600.000000000000000,157806900.000000000000000,148599900.000000000000000,33797700.000000000000000,37275300.000000000000000,6749100.000000000000000,25398000.000000000000000,26903700.000000000000000,17080003,Lower Columbia-Clatskanie,North Coast,North Coast
42,17080006,6804000.000000000000000,0.000000000000000,60739200.000000000000000,12292200.000000000000000,3195000.000000000000000,1955700.000000000000000,9411300.000000000000000,11026800.000000000000000,290380500.000000000000000,122274900.000000000000000,174367800.000000000000000,62161200.000000000000000,5550300.000000000000000,920700.000000000000000,43644600.000000000000000,42566400.000000000000000,17080006,Lower Columbia,North Coast,North Coast
43,17090001,58101300.000000000000000,0.000000000000000,22693500.000000000000000,7813800.000000000000000,3398400.000000000000000,801000.000000000000000,41481000.000000000000000,7726500.000000000000000,2751534000.000000000000000,17882100.000000000000000,436808700.000000000000000,109637100.000000000000000,43693200.000000000000000,26342100.000000000000000,6725700.000000000000000,5820300.000000000000000,17090001,Middle Fork Willamette,Willamette,Willamette
44,17090002,10368900.000000000000000,0.000000000000000,36377100.000000000000000,13583700.000000000000000,6244200.000000000000000,2374200.000000000000000,2712600.000000000000000,5575500.000000000000000,1032710400.000000000000000,59112000.000000000000000,324607500.000000000000000,76673700.000000000000000,109347300.000000000000000,26462700.000000000000000,17378100.000000000000000,2612700.000000000000000,17090002,Coast Fork Willamette,Willamette,Willamette
45,17090003,47898000.000000000000000,0.000000000000000,213511500.000000000000000,186194700.000000000000000,97038900.000000000000000,41514300.000000000000000,23381100.000000000000000,38198700.000000000000000,1026206100.000000000000000,303307200.000000000000000,572199300.000000000000000,218877300.000000000000000,1342680300.000000000000000,563169600.000000000000000,142387200.000000000000000,33600600.000000000000000,17090003,Upper Willamette,Willamette,Willamette
46,17090004,16299000.000000000000000,5828400.000000000000000,29150100.000000000000000,9537300.000000000000000,5787900.000000000000000,1764900.000000000000000,112581000.000000000000000,4946400.000000000000000,2579700600.000000000000000,27039600.000000000000000,451197000.000000000000000,141863400.000000000000000,39891600.000000000000000,33409800.000000000000000,7360200.000000000000000,1809900.000000000000000,17090004,McKenzie,Willamette,Willamette
47,17090005,18411300.000000000000000,2392200.000000000000000,25532100.000000000000000,12741300.000000000000000,3896100.000000000000000,1289700.000000000000000,27077400.000000000000000,3786300.000000000000000,1357278300.000000000000000,14060700.000000000000000,221733900.000000000000000,90476100.000000000000000,99322200.000000000000000,82711800.000000000000000,16131600.000000000000000,2499300.000000000000000,17090005,North Santiam,Willamette,Willamette
48,17090006,20251800.000000000000000,0.000000000000000,27648900.000000000000000,15543900.000000000000000,5692500.000000000000000,1639800.000000000000000,10360800.000000000000000,7471800.000000000000000,1535293800.000000000000000,35179200.000000000000000,453024000.000000000000000,192469500.000000000000000,271278000.000000000000000,104849100.000000000000000,14360400.000000000000000,1092600.000000000000000,17090006,South Santiam,Willamette,Willamette
49,17090007,33889500.000000000000000,0.000000000000000,99000000.000000000000000,153154800.000000000000000,83436300.000000000000000,30034800.000000000000000,7902000.000000000000000,27207900.000000000000000,144387900.000000000000000,104418000.000000000000000,72983700.000000000000000,49600800.000000000000000,547147800.000000000000000,435132000.000000000000000,41859000.000000000000000,11319300.000000000000000,17090007,Middle Willamette,Willamette,Willamette
50,17090008,2360700.000000000000000,0.000000000000000,70715700.000000000000000,42901200.000000000000000,13689000.000000000000000,5037300.000000000000000,10926900.000000000000000,37339200.000000000000000,455751900.000000000000000,241520400.000000000000000,282849300.000000000000000,104232600.000000000000000,349162200.000000000000000,335762100.000000000000000,39911400.000000000000000,6447600.000000000000000,17090008,Yamhill,Willamette,Willamette
51,17090009,4676400.000000000000000,0.000000000000000,51887700.000000000000000,58539600.000000000000000,28956600.000000000000000,9526500.000000000000000,3614400.000000000000000,5918400.000000000000000,812105100.000000000000000,33483600.000000000000000,251062200.000000000000000,122464800.000000000000000,492985800.000000000000000,350251200.000000000000000,37784700.000000000000000,4248000.000000000000000,17090009,Molalla-Pudding,Willamette,Willamette
52,17090010,5018400.000000000000000,0.000000000000000,90969300.000000000000000,172324800.000000000000000,108703800.000000000000000,34382700.000000000000000,8106300.000000000000000,28480500.000000000000000,331545600.000000000000000,214666200.000000000000000,236034900.000000000000000,79181100.000000000000000,197992800.000000000000000,291112200.000000000000000,29941200.000000000000000,7490700.000000000000000,17090010,Tualatin,Willamette,Willamette
53,17090011,13278600.000000000000000,0.000000000000000,42098400.000000000000000,27767700.000000000000000,11973600.000000000000000,5109300.000000000000000,3338100.000000000000000,9099000.000000000000000,1781779500.000000000000000,39527100.000000000000000,272603700.000000000000000,62702100.000000000000000,104611500.000000000000000,59882400.000000000000000,6441300.000000000000000,1469700.000000000000000,17090011,Clackamas,Willamette,Willamette
54,17090012,36081000.000000000000000,0.000000000000000,79355700.000000000000000,163214100.000000000000000,159356700.000000000000000,78535800.000000000000000,8234100.000000000000000,21573900.000000000000000,135691200.000000000000000,103362300.000000000000000,80320500.000000000000000,19026000.000000000000000,60917400.000000000000000,53208900.000000000000000,33130800.000000000000000,28838700.000000000000000,17090012,Lower Willamette,Willamette,Willamette
55,17100201,1624500.000000000000000,0.000000000000000,32055300.000000000000000,10260000.000000000000000,2957400.000000000000000,968400.000000000000000,6285600.000000000000000,1158300.000000000000000,125650800.000000000000000,39144600.000000000000000,76799700.000000000000000,34484400.000000000000000,0.000000000000000,0.000000000000000,18841500.000000000000000,4723200.000000000000000,17100201,Necanicum,North Coast,North Coast
56,17100202,1964700.000000000000000,0.000000000000000,107475300.000000000000000,9226800.000000000000000,942300.000000000000000,261900.000000000000000,12007800.000000000000000,59241600.000000000000000,858726900.000000000000000,410240700.000000000000000,558596700.000000000000000,131124600.000000000000000,21986100.000000000000000,3142800.000000000000000,21325500.000000000000000,8424900.000000000000000,17100202,Nehalem,North Coast,North Coast
57,17100203,7033500.000000000000000,0.000000000000000,145553400.000000000000000,15203700.000000000000000,4789800.000000000000000,2259000.000000000000000,19991700.000000000000000,100572300.000000000000000,1005052500.000000000000000,638621100.000000000000000,280503000.000000000000000,102635100.000000000000000,55101600.000000000000000,6282000.000000000000000,31176000.000000000000000,33446700.000000000000000,17100203,Wilson-Trask-Nestucca,North Coast,North Coast
58,17100204,10773900.000000000000000,0.000000000000000,120732300.000000000000000,18264600.000000000000000,6865200.000000000000000,2963700.000000000000000,29441700.000000000000000,42177600.000000000000000,661930200.000000000000000,388408500.000000000000000,503888400.000000000000000,101210400.000000000000000,13022100.000000000000000,744300.000000000000000,28764000.000000000000000,19234800.000000000000000,17100204,Siletz-Yaquina,Mid Coast,Mid Coast
59,17100205,3817800.000000000000000,0.000000000000000,93966300.000000000000000,10283400.000000000000000,2213100.000000000000000,540000.000000000000000,17715600.000000000000000,29660400.000000000000000,948115800.000000000000000,401916600.000000000000000,172188000.000000000000000,42835500.000000000000000,14814900.000000000000000,1393200.000000000000000,27598500.000000000000000,8417700.000000000000000,17100205,Alsea,Mid Coast,Mid Coast
60,17100206,5769000.000000000000000,0.000000000000000,95558400.000000000000000,7198200.000000000000000,3536100.000000000000000,1064700.000000000000000,12114000.000000000000000,22904100.000000000000000,949923900.000000000000000,438804900.000000000000000,326212200.000000000000000,64514700.000000000000000,24626700.000000000000000,3296700.000000000000000,25788600.000000000000000,12098700.000000000000000,17100206,Siuslaw,Mid Coast,Mid Coast
61,17100207,23435100.000000000000000,0.000000000000000,14202900.000000000000000,1918800.000000000000000,263700.000000000000000,48600.000000000000000,19723500.000000000000000,2351700.000000000000000,111861000.000000000000000,49030200.000000000000000,69904800.000000000000000,15404400.000000000000000,543600.000000000000000,0.000000000000000,16200900.000000000000000,11195100.000000000000000,17100207,Siltcoos,Mid Coast,Mid Coast
62,17100301,19899000.000000000000000,0.000000000000000,26023500.000000000000000,7686900.000000000000000,3791700.000000000000000,1027800.000000000000000,19620000.000000000000000,7351200.000000000000000,2726232300.000000000000000,23362200.000000000000000,449243100.000000000000000,166319100.000000000000000,94045500.000000000000000,8282700.000000000000000,3484800.000000000000000,2047500.000000000000000,17100301,North Umpqua,Umpqua,Umpqua
63,17100302,6771600.000000000000000,0.000000000000000,87436800.000000000000000,32304600.000000000000000,16023600.000000000000000,7434000.000000000000000,20083500.000000000000000,12991500.000000000000000,3026444400.000000000000000,101884500.000000000000000,777664800.000000000000000,274652100.000000000000000,260112600.000000000000000,16282800.000000000000000,17992800.000000000000000,7479000.000000000000000,17100302,South Umpqua,Umpqua,Umpqua
64,17100303,18883800.000000000000000,0.000000000000000,155756700.000000000000000,12990600.000000000000000,4490100.000000000000000,1287900.000000000000000,25659900.000000000000000,25954200.000000000000000,1851436800.000000000000000,534741300.000000000000000,680724900.000000000000000,254183400.000000000000000,255962700.000000000000000,5469300.000000000000000,34996500.000000000000000,22727700.000000000000000,17100303,Umpqua,Umpqua,Umpqua
65,17100304,17995500.000000000000000,135000.000000000000000,87643800.000000000000000,21681000.000000000000000,9710100.000000000000000,4529700.000000000000000,55328400.000000000000000,14313600.000000000000000,774174600.000000000000000,270514800.000000000000000,415459800.000000000000000,101552400.000000000000000,15170400.000000000000000,674100.000000000000000,34924500.000000000000000,41025600.000000000000000,17100304,Coos,South Coast,South Coast
66,17100305,6790500.000000000000000,0.000000000000000,120764700.000000000000000,13796100.000000000000000,3488400.000000000000000,1057500.000000000000000,26390700.000000000000000,12598200.000000000000000,1216532700.000000000000000,346287600.000000000000000,595980900.000000000000000,231606900.000000000000000,97399800.000000000000000,5844600.000000000000000,24086700.000000000000000,34738200.000000000000000,17100305,Coquille,South Coast,South Coast
67,17100306,6234300.000000000000000,0.000000000000000,40855500.000000000000000,10415700.000000000000000,2321100.000000000000000,426600.000000000000000,15634800.000000000000000,3068100.000000000000000,556161300.000000000000000,199427400.000000000000000,181804500.000000000000000,126288000.000000000000000,10433700.000000000000000,12310200.000000000000000,19720800.000000000000000,29247300.000000000000000,17100306,Sixes,South Coast,South Coast
68,17100307,17328600.000000000000000,0.000000000000000,32939100.000000000000000,10480500.000000000000000,3828600.000000000000000,540900.000000000000000,41224500.000000000000000,8958600.000000000000000,2799335700.000000000000000,23669100.000000000000000,944073000.000000000000000,153766800.000000000000000,86312700.000000000000000,50446800.000000000000000,6165900.000000000000000,4083300.000000000000000,17100307,Upper Rogue,Rogue,Rogue
69,17100308,7163100.000000000000000,0.000000000000000,109132200.000000000000000,84011400.000000000000000,47989800.000000000000000,18454500.000000000000000,3982500.000000000000000,8771400.000000000000000,900900000.000000000000000,97305300.000000000000000,558873900.000000000000000,153882000.000000000000000,213374700.000000000000000,62957700.000000000000000,13656600.000000000000000,4057200.000000000000000,17100308,Middle Rogue,Rogue,Rogue
70,17100309,2971800.000000000000000,0.000000000000000,66488400.000000000000000,11020500.000000000000000,1256400.000000000000000,306900.000000000000000,6747300.000000000000000,750600.000000000000000,1088580600.000000000000000,39528000.000000000000000,380962800.000000000000000,81912600.000000000000000,57863700.000000000000000,3469500.000000000000000,14166900.000000000000000,4259700.000000000000000,17100309,Applegate,Rogue,Rogue
71,17100310,6713100.000000000000000,0.000000000000000,84386700.000000000000000,10786500.000000000000000,3268800.000000000000000,1136700.000000000000000,9283500.000000000000000,1442700.000000000000000,1738117800.000000000000000,119277000.000000000000000,255760200.000000000000000,91217700.000000000000000,10257300.000000000000000,324900.000000000000000,9242100.000000000000000,5898600.000000000000000,17100310,Lower Rogue,Rogue,Rogue
72,17100311,1323900.000000000000000,0.000000000000000,65595600.000000000000000,8055900.000000000000000,1259100.000000000000000,543600.000000000000000,6856200.000000000000000,480600.000000000000000,1698884100.000000000000000,41591700.000000000000000,470112300.000000000000000,66915900.000000000000000,23393700.000000000000000,1322100.000000000000000,20683800.000000000000000,5005800.000000000000000,17100311,Illinois,Rogue,Rogue
73,17100312,1831500.000000000000000,0.000000000000000,57573000.000000000000000,8049600.000000000000000,4865400.000000000000000,1369800.000000000000000,8741700.000000000000000,5085900.000000000000000,1047937500.000000000000000,186819300.000000000000000,192076200.000000000000000,68703300.000000000000000,2686500.000000000000000,194400.000000000000000,2715300.000000000000000,3159000.000000000000000,17100312,Chetco,South Coast,South Coast
74,17120001,125100000.000000000000000,0.000000000000000,51808500.000000000000000,8603100.000000000000000,258300.000000000000000,6300.000000000000000,192362400.000000000000000,0.000000000000000,212354100.000000000000000,0.000000000000000,2511787500.000000000000000,15877800.000000000000000,519371100.000000000000000,67668300.000000000000000,8532900.000000000000000,48178800.000000000000000,17120001,Harney-Malheur Lakes,Malheur Lakes,Malheur Lakes
